,TIMESTAMP,MAIN_Z-LEFT,MAIN_Z-MIDDLE,MAIN_Z-RIGHT,PLC_COUNTER1,PLC_COUNTER2,PLC_COUNTER3,PLC_COUNTER4,PLC_COUNTER5,PLC_COUNTER6,SUB1_ALARM,SUB1_CYCLE_TIME,SUB1_HEATING_STATUS,SUB1_MAX_TEMP,SUB1_PV_TEMP,SUB2_ALARM,SUB2_CYCLE_TIME,SUB2_HEATING_STATUS,SUB2_MAX_TEMP,SUB2_PV_TEMP,SUB3_ALARM,SUB3_CYCLE_TIME,SUB3_HEATING_STATUS,SUB3_MAX_TEMP,SUB3_PV_TEMP,SUB4_ALARM,SUB4_CYCLE_TIME,SUB4_HEATING_STATUS,SUB4_MAX_TEMP,SUB4_PV_TEMP,SUB5_ALARM,SUB5_CYCLE_TIME,SUB5_HEATING_STATUS,SUB5_MAX_TEMP,SUB5_PV_TEMP,SUB6_ALARM,SUB6_CYCLE_TIME,SUB6_HEATING_STATUS,SUB6_MAX_TEMP,SUB6_PV_TEMP,FR_TIME,TO_TIME
68,2023-10-23 15:00:12.409,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
69,2023-10-23 15:00:13.097,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
70,2023-10-23 15:00:14.176,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
71,2023-10-23 15:00:17.641,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
72,2023-10-23 15:00:17.729,-5.90682e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
73,2023-10-23 15:00:17.884,,,-4.725456e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
74,2023-10-23 15:00:18.570,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
75,2023-10-23 15:00:19.170,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
76,2023-10-23 15:00:19.173,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
77,2023-10-23 15:00:19.186,,,,,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
78,2023-10-23 15:00:19.447,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
79,2023-10-23 15:00:19.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
80,2023-10-23 15:00:19.487,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
81,2023-10-23 15:00:19.540,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
82,2023-10-23 15:00:19.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
83,2023-10-23 15:00:19.673,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
84,2023-10-23 15:00:19.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,,2023-10-23 15:00:00,2023-10-23 15:05:00
85,2023-10-23 15:00:19.692,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
86,2023-10-23 15:00:19.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
87,2023-10-23 15:00:19.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2023-10-23 15:00:00,2023-10-23 15:05:00
88,2023-10-23 15:00:19.836,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
89,2023-10-23 15:00:19.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,2023-10-23 15:00:00,2023-10-23 15:05:00
90,2023-10-23 15:00:19.930,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
91,2023-10-23 15:00:19.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
92,2023-10-23 15:00:19.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
93,2023-10-23 15:00:20.009,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
94,2023-10-23 15:00:20.017,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
95,2023-10-23 15:00:20.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
96,2023-10-23 15:00:20.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
97,2023-10-23 15:00:20.067,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
98,2023-10-23 15:00:20.087,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
99,2023-10-23 15:00:20.139,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
100,2023-10-23 15:00:20.173,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
101,2023-10-23 15:00:20.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,2023-10-23 15:00:00,2023-10-23 15:05:00
102,2023-10-23 15:00:20.293,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
103,2023-10-23 15:00:20.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
104,2023-10-23 15:00:20.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
105,2023-10-23 15:00:20.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
106,2023-10-23 15:00:20.469,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
107,2023-10-23 15:00:20.541,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
108,2023-10-23 15:00:20.559,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
109,2023-10-23 15:00:20.618,,,,,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
110,2023-10-23 15:00:20.645,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
111,2023-10-23 15:00:20.703,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
112,2023-10-23 15:00:20.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
113,2023-10-23 15:00:22.183,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
114,2023-10-23 15:00:23.757,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
115,2023-10-23 15:00:24.259,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
116,2023-10-23 15:00:27.770,,4.725456e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23 15:00:00,2023-10-23 15:05:00
